nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;Sí;1929;7th Heaven;1927;ingles;Drama, Romance;Fox Film Corporation;Estados Unidos;Sin Lenguaje
Richard Barthelmess;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;No; War Brides;Mejor actor;No;1929;The Patent Leather Kid;1927;ingles;War, Drama, Romance;First National Pictures;Estados Unidos;ingles
Emil Jannings;Masculino;Rorschach, Suiza;Suiza;Alemana;Blanca;No; Arme Eva;Mejor actor;No;1929;The Way of All Flesh;1927;ingles;Drama;Paramount;Estados Unidos;ingles
Richard Barthelmess;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; War Brides;Mejor actor;No;1929;The Noose;1927;Inglés;Drama, Crimen;First National Pictures;Estados Unidos;Sin idioma
Emil Jannings;Masculino;Rorschach, Suiza;Suiza;Alemana;Blanca;No; Arme Eva;Mejor actor;Sí;1929;The Last Command;1927;Inglés;Drama, Bélica;Paramount Pictures;Estados Unidos;Sin idioma
Louise Dresser;Femenino;Evansville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Glory of Clementina;Mejor actriz;No;1929;A Ship Comes In;1927;Inglés;Drama;DeMille Pictures Corporation, Pathé Exchange;Estados Unidos;Sin idioma
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;No;1929;Street Angel;1927;Inglés;Drama, Romance;Fox Film Corporation;Estados Unidos;Sin idioma
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;No;1929;Sunrise;1927;Inglés;Drama, Romance;Fox Film Corporation;Estados Unidos;Sin idioma
Gloria Swanson;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Fable of Elvira and Farina and the Meal Ticket;Mejor actriz;No;1929;Sadie Thompson;1927;Inglés;Drama;Gloria Swanson Productions, United Artists;Estados Unidos;Sin idioma
Warner Baxter;Masculino;Columbus, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sheltered Daughters;Mejor actor;Sí;1930;In Old Arizona;1928;ingles;Action, Western;Fox Film Corporation;Estados Unidos;Ingles, Italiano, Español
Corinne Griffith;Femenino;Texarkana, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; La paloma;Mejor actriz;No;1930;The Divine Lady;1928;ingles;Drama, History, Romance, War;First National Pictures;Estados Unidos;Ingles
Lewis Stone;Masculino;Worcester, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Honor's Altar;Mejor actor;No;1930;The Patriot;1928;ingles;Drama;Paramount Famous Lasky Corporation;Estados Unidos;Ingles
Betty Compson;Femenino;Beaver, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wanted: A Leading Lady;Mejor actriz;No;1930;The Barker;1928;ingles;Romance, Drama;First National Pictures;Estados Unidos;Ingles
George Bancroft;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Journey's End;Mejor actor;No;1930;Thunderbolt;1928;Inglés;Drama, Crimen;Paramount Pictures;Estados Unidos;Inglés
Chester Morris;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; An Amateur Orphan;Mejor actor;No;1930;Alibi;1928;Inglés;Crimen, Drama, Suspense;Feature Productions, United Artists;Estados Unidos;Inglés
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1930;The Valiant;1928;Inglés;Drama;Fox Film Corporation;Estados Unidos;Inglés
Ruth Chatterton;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sins of the Fathers;Mejor actriz;No;1930;Madame X;1928;Inglés;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Jeanne Eagels;Femenino;Kansas City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Ace of Hearts;Mejor actriz;No;1930;The Letter;1928;Inglés;Drama, Crimen;Paramount Pictures;Estados Unidos;Inglés
Bessie Love;Femenino;Midland, Estados Unidos;Estadounidense;Británica;Blanca;Sí; Acquitted;Mejor actriz;No;1930;The Broadway Melody;1928;Inglés;Drama, Música, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Mary Pickford;Femenino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;Sí; Mrs. Jones Entertains;Mejor actriz;Sí;1930;Coquette;1928;Inglés;Drama, Romance;Pickford Corporation, United Artists;Estados Unidos;Inglés
Ronald Colman;Masculino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; The Live Wire;Mejor actor;No;1931;Bulldog Drummond;1929;ingles;Action, Thriller;Howard Productions, Samuel Goldwyn Productions;Estados Unidos;Ingles
George Arliss;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; The Devil ;Mejor actor;Sí;1931;Disraeli;1929;ingles;Drama, History;The Vitaphone Corporation, Warner Bros. Pictures;Estados Unidos;Ingles
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1931;Their Own Desire;1929;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Ronald Colman;Masculino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; The Live Wire;Mejor actor;No;1931;Condemned;1929;ingles;Action, Drama, Thriller;Samuel Goldwyn Productions, Howard Productions;Estados Unidos;Ingles
Gloria Swanson;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Fable of Elvira and Farina and the Meal Ticket;Mejor actriz;No;1931;The Trespasser;1929;ingles;Drama;Gloria Productions;Estados Unidos;Ingles
George Arliss;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; The Devil ;Mejor actor;No;1931;The Green Goddess;1929;Inglés;Drama, Aventura;Warner Bros. Pictures;Estados Unidos;Inglés
Wallace Beery;Masculino;Kansas City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; His Athletic Wife;Mejor actor;No;1931;The Big House;1929;Inglés;Crimen, Drama;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Maurice Chevalier;Masculino;París, Francia;Francesa;No aplica;Blanca;No; Trop crédules;Mejor actor;No;1931;The Big Pond;1929;Inglés;Comedia, Romance;Paramount Pictures;Estados Unidos;Inglés
Maurice Chevalier;Masculino;París, Francia;Francesa;No aplica;Blanca;No; Trop crédules;Mejor actor;No;1931;The Love Parade;1929;Inglés;Comedia, Música, Romance;Paramount Pictures;Estados Unidos;Inglés
Lawrence Tibbett;Masculino;Baskersfield, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Rogue Song;Mejor actor;No;1931;The Rogue Song;1929;Inglés;Música, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Nancy Carroll;Femenino;Nueva York, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Ladies Must Dress;Mejor actriz;No;1931;The Devil's Holiday;1929;Inglés;Drama;Paramount Pictures;Estados Unidos;Inglés
Ruth Chatterton;Femenino;Nueva York, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sins of the Fathers;Mejor actriz;No;1931;Sarah and Son;1929;Inglés;Drama;Paramount Pictures;Estados Unidos;Inglés
Greta Garbo;Femenino;Estocolmo, Suecia;Sueca;Estadounidense;Blanca;No; Luffar-Petter;Mejor actriz;No;1931;Anna Christie;1929;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Greta Garbo;Femenino;Estocolmo, Suecia;Sueca;Estadounidense;Blanca;No; Luffar-Petter;Mejor actriz;No;1931;Romance;1929;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;Sí;1931;The Divorcee;1929;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Marlene Dietrich;Femenino;Berlín, Alemania;Alemana;Estadounidense ;Blanca;No; So sind die Männer;Mejor actriz;No;1932;Morocco;1930;ingles;Drama, Romance;Paramount;Estados Unidos;Ingles, Arabe, Frances, Español, Italiano
Ann Harding;Femenino;Fort Sam Houston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Paris Bound;Mejor actriz;No;1932;Holiday;1930;ingles;Comedy, Romance;Pathé Exchange;Estados Unidos;Ingles
Marie Dressler;Femenino;Cobourg, Canadá;Canadiense;Estadounidense;Blanca;Sí; Tillie's Punctured Romance;Mejor actriz;Sí;1932;Min and Bill;1930;ingles;Drama, Comedy;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;No;1932;The Royal Family of Broadway;1930;ingles;Comedy;Paramount;Estados Unidos;Ingles
Lionel Barrymore;Masculino;Filadelfia, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Fighting Blood;Mejor actor;Sí;1932;A Free Soul;1930;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1932;A Free Soul;1930;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
