Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Richard Barthelmess,ACTOR,The Noose,FALSO,1928,1895-05-09,New York City,Male,White,Straight,Na,http://www.nndb.com/people/137/000068930/
Emil Jannings,ACTOR,The Last Command,VERDADERO,1928,1884-07-23,"Rorschach, Switzerland",Male,White,Bisexual,Na,/people/738/000063549/
Louise Dresser,ACTRESS,A Ship Comes In,FALSO,1928,1878-10-05,"Evansville, ID",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0237571/
Janet Gaynor,ACTRESS,7th Heaven,VERDADERO,1928,06-10-1906,"Philadelphia, PA",Female,White,Straight,Na,/people/129/000043000/
Gloria Swanson,ACTRESS,Sadie Thompson,FALSO,1928,1897-03-27,"Chicago, IL",Female,White,Straight,Na,http://www.nndb.com/people/979/000043850/
Lewis Milestone,DIRECTING,Two Arabian Knights,VERDADERO,1928,1895-09-30,"Chisinau, Moldova",Male,White,Straight,Na,/people/320/000043191/
Ted Wilde,DIRECTING,Speedy,FALSO,1928,1889-12-16,New York City,Male,White,Na,Na,https://www.imdb.com/name/nm0928514/bio/
Frank Borzage,DIRECTING,7th Heaven,VERDADERO,1928,1894-04-23,"Salt Lake City, UT",Male,White,Straight,Roman Catholic,/people/292/000044160/
Herbert Brenon,DIRECTING,Sorrell and Son,FALSO,1928,1880-01-13,"Dublin, Ireland",Male,White,Straight,Na,https://www.imdb.com/fr/name/nm0107543/?ref_=nv_sr_srsg_0_tt_0_nm_5_in_0_q_herbet%2520brenon
King Vidor,DIRECTING,The Crowd,FALSO,1928,1894-02-08,"Galveston, TX",Male,White,Straight,Na,http://www.nndb.com/people/808/000043679/
George Bancroft,ACTOR,Thunderbolt,FALSO,1929,1882-09-30,"Philadelphia, PA",Male,White,Straight,Na,http://www.nndb.com/people/133/000068926/
Warner Baxter,ACTOR,In Old Arizona,VERDADERO,1929,1889-03-29,"Columbus, OH",Male,White,Straight,Na,/people/739/000063550/
Chester Morris,ACTOR,Alibi,FALSO,1929,16-02-1901,New York City,Male,White,Straight,Na,http://www.nndb.com/people/455/000135050/
Paul Muni,ACTOR,The Valiant,FALSO,1929,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Lewis Stone,ACTOR,The Patriot,FALSO,1929,1879-11-15,"Worcester, MA",Male,White,Straight,Na,http://www.nndb.com/people/981/000101678/
Ruth Chatterton,ACTRESS,Madame X,FALSO,1929,1893-12-24,New York City,Female,White,Straight,Na,http://www.nndb.com/people/207/000069000/
Betty Compson,ACTRESS,The Barker,FALSO,1929,1897-03-19,"Beaver, UT",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0173993/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_betty%2520comps
Jeanne Eagels,ACTRESS,The Letter,FALSO,1929,1890-06-26,"Kansas City, MS",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0247074/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_jeanne%2520eag
Corinne Griffith,ACTRESS,The Divine Lady,FALSO,1929,1894-11-21,"Texarkana, TX",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0341464/?ref_=nv_sr_srsg_0_tt_0_nm_8_in_0_q_corinne%2520grif
Bessie Love,ACTRESS,The Broadway Melody,FALSO,1929,1898-09-10,"Midland, TX",Female,White,Straight,Na,http://www.nndb.com/people/556/000066358/
Mary Pickford,ACTRESS,Coquette,VERDADERO,1929,1892-04-08,"Toronto, Ontario, Canada",Female,White,Straight,Na,/people/683/000042557/
Lionel Barrymore,DIRECTING,Madame X,FALSO,1929,1878-04-28,"Philadelphia, PA",Male,White,Straight,Roman Catholic,/people/741/000043612/
Harry Beaumont,DIRECTING,The Broadway Melody,FALSO,1929,1888-02-10,"Abilene, KS",Male,White,Straight,Na,http://www.nndb.com/people/009/000135601/
Irving Cummings,DIRECTING,In Old Arizona,FALSO,1929,1888-10-09,New York City,Male,White,Straight,Na,http://www.nndb.com/people/865/000133466/
Frank Lloyd,DIRECTING,The Divine Lady,VERDADERO,1929,1886-02-02,"Glasgow, Scotland",Male,White,Straight,Na,/people/626/000042500/
Frank Lloyd,DIRECTING,Drag;,FALSO,1929,1886-02-02,"Glasgow, Scotland",Male,White,Straight,Na,/people/626/000042500/
Ernst Lubitsch,DIRECTING,The Patriot,FALSO,1929,1892-01-28,"Berlin, Germany",Male,White,Straight,Na,http://www.nndb.com/people/004/000032905/
George Arliss,ACTOR,Disraeli,VERDADERO,1930,1868-04-10,"London, England",Male,White,Straight,Na,/people/740/000063551/
George Arliss,ACTOR,The Green Goddess,FALSO,1930,1868-04-10,"London, England",Male,White,Straight,Na,/people/740/000063551/
Wallace Beery,ACTOR,The Big House,FALSO,1930,1885-04-01,"Kansas City, MO",Male,White,Straight,Na,/people/976/000043847/
Maurice Chevalier,ACTOR,The Big Pond,FALSO,1930,1888-09-12,"Paris, France",Male,White,Bisexual,Na,http://www.nndb.com/people/950/000043821/
Ronald Colman,ACTOR,Bulldog Drummond,FALSO,1930,1891-02-09,"Richmond, Surrey, England",Male,White,Straight,Na,/people/619/000042493/
Lawrence Tibbett,ACTOR,The Rogue Song,FALSO,1930,1896-11-16,"Baskersfield, CA",Male,White,Straight,Na,https://www.imdb.com/fr/name/nm0862546/?ref_=fn_all_nme_1
Nancy Carroll,ACTRESS,The Devil's Holiday,FALSO,1930,19-11-1903,New York City,Female,White,Straight,Na,http://www.nndb.com/people/710/000135305/
Ruth Chatterton,ACTRESS,Sarah and Son,FALSO,1930,1893-12-24,New York City,Female,White,Straight,Na,http://www.nndb.com/people/207/000069000/
Greta Garbo,ACTRESS,Anna Christie,FALSO,1930,18-09-1905,"Stockholm, Sweden",Female,White,Bisexual,Protestant,http://www.nndb.com/people/224/000022158/
Norma Shearer,ACTRESS,The Divorcee,VERDADERO,1930,10-08-1902,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Norma Shearer,ACTRESS,Their Own Desire,FALSO,1930,10-08-1902,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Gloria Swanson,ACTRESS,The Trespasser,FALSO,1930,1897-03-27,"Chicago, IL",Female,White,Straight,Na,http://www.nndb.com/people/979/000043850/
Clarence Brown,DIRECTING,Anna Christie;,FALSO,1930,1890-05-10,"Clinton, MA",Male,White,Straight,Na,http://www.nndb.com/people/336/000078102/
Robert Leonard,DIRECTING,The Divorcee,FALSO,1930,1889-10-07,"Chicago, IL",Male,White,Straight,Jewish,http://www.nndb.com/people/300/000044168/
Ernst Lubitsch,DIRECTING,The Love Parade,FALSO,1930,1892-01-28,"Berlin, Germany",Male,White,Straight,Na,http://www.nndb.com/people/004/000032905/
Lewis Milestone,DIRECTING,All Quiet on the Western Front,VERDADERO,1930,1895-09-30,"Chisinau, Moldova",Male,White,Straight,Na,/people/320/000043191/
King Vidor,DIRECTING,Hallelujah,FALSO,1930,1894-02-08,"Galveston, TX",Male,White,Straight,Na,http://www.nndb.com/people/808/000043679/
Lionel Barrymore,ACTOR,A Free Soul,VERDADERO,1931,1878-04-28,"Philadelphia, PA",Male,White,Straight,Roman Catholic,/people/741/000043612/
Jackie Cooper,ACTOR,Skippy,FALSO,1931,15-09-1922,"Los Angeles, CA",Male,White,Straight,Na,http://www.nndb.com/people/918/000022852/
Richard Dix,ACTOR,Cimarron,FALSO,1931,1893-07-18,"St. Paul, MN",Male,White,Straight,Na,http://www.nndb.com/people/975/000136567/
Fredric March,ACTOR,The Royal Family of Broadway,FALSO,1931,1897-08-31,"Racine, WI",Male,White,Straight,Na,/people/255/000043126/
Adolphe Menjou,ACTOR,The Front Page,FALSO,1931,1890-02-18,"Pittsburgh, PA",Male,White,Straight,Na,http://www.nndb.com/people/627/000043498/
Marlene Dietrich,ACTRESS,Morocco,FALSO,1931,27-12-1901,"Berlin, Germany",Female,White,Bisexual,Na,http://www.nndb.com/people/720/000031627/
Marie Dressler,ACTRESS,Min and Bill,VERDADERO,1931,1868-11-02,"Cobourg, Ontario, Canada",Female,White,Straight,Na,/people/814/000063625/
Irene Dunne,ACTRESS,Cimarron,FALSO,1931,1898-12-20,"Louisville, KY",Female,White,Straight,Na,http://www.nndb.com/people/346/000044214/
Ann Harding,ACTRESS,Holiday,FALSO,1931,07-08-1901,"Fort Sam Houston, TX",Female,White,Straight,Na,http://www.nndb.com/people/150/000140727/
Norma Shearer,ACTRESS,A Free Soul,FALSO,1931,10-08-1902,"Montreal, Quebec, Canada",Female,White,Straight,Na,/people/813/000063624/
Wesley Ruggles,DIRECTING,Cimarron,FALSO,1931,1889-06-11,"Los Angeles, CA",Male,White,Straight,Na,http://www.nndb.com/people/953/000133554/
Clarence Brown,DIRECTING,A Free Soul,FALSO,1931,1890-05-10,"Clinton, MA",Male,White,Straight,Na,http://www.nndb.com/people/336/000078102/
Lewis Milestone,DIRECTING,The Front Page,FALSO,1931,1895-09-30,"Chisinau, Moldova",Male,White,Straight,Na,/people/320/000043191/
Josef Von Sternberg,DIRECTING,Morocco,FALSO,1931,1894-05-29,"Vienna, Austria",Male,White,Straight,Na,http://www.nndb.com/people/320/000078086/
Norman Taurog,DIRECTING,Skippy,VERDADERO,1931,1899-02-23,"Chicago, IL",Male,White,Straight,Na,/people/544/000041421/
Wallace Beery,ACTOR,The Champ,VERDADERO,1932,1885-04-01,"Kansas City, MO",Male,White,Straight,Na,/people/976/000043847/
Alfred Lunt,ACTOR,The Guardsman,FALSO,1932,1892-08-12,"Milwaukee, WI",Male,White,Straight,Na,http://www.nndb.com/people/661/000107340/
Fredric March,ACTOR,Dr. Jekyll and Mr. Hyde,VERDADERO,1932,1897-08-31,"Racine, WI",Male,White,Straight,Na,/people/255/000043126/
Marie Dressler,ACTRESS,Emma,FALSO,1932,1868-11-02,"Cobourg, Ontario, Canada",Female,White,Straight,Na,/people/814/000063625/
Lynn Fontanne,ACTRESS,The Guardsman,FALSO,1932,1887-12-06,"London, England",Female,White,Straight,Na,http://www.nndb.com/people/662/000107341/
Helen Hayes,ACTRESS,The Sin of Madelon Claudet,VERDADERO,1932,10-10-1900,"Washington, DC",Female,White,Straight,Na,/people/908/000031815/
Frank Borzage,DIRECTING,Bad Girl,VERDADERO,1932,1894-04-23,"Salt Lake City, UT",Male,White,Straight,Roman Catholic,/people/292/000044160/
King Vidor,DIRECTING,The Champ,FALSO,1932,1894-02-08,"Galveston, TX",Male,White,Straight,Na,http://www.nndb.com/people/808/000043679/
Josef Von Sternberg,DIRECTING,Shanghai Express,FALSO,1932,1894-05-29,"Vienna, Austria",Male,White,Straight,Na,http://www.nndb.com/people/320/000078086/
Leslie Howard,ACTOR,Berkeley Square,FALSO,1933,1893-04-03,"London, England",Male,White,Straight,Na,http://www.nndb.com/people/945/000065750/
Charles Laughton,ACTOR,The Private Life of Henry VIII,VERDADERO,1933,1899-07-01,"Victoria Hotel, Scarborough, Yorkshire, England",Male,White,Gay,Roman Catholic,/people/884/000042758/
Paul Muni,ACTOR,I Am a Fugitive from a Chain Gang,FALSO,1933,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Katharine Hepburn,ACTRESS,Morning Glory,VERDADERO,1933,12-05-1907,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
May Robson,ACTRESS,Lady for a Day,FALSO,1933,1858-04-19,"Melbourne, Victoria, Australia",Female,White,Straight,Na,http://www.nndb.com/people/177/000205559/
