nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Richard Barthelmess;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; War Brides;Mejor actor;No;1929;The Noose;;;;
Richard Barthelmess;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;No; War Brides;Mejor actor;No;1929;The Patent Leather Kid;;;;
Emil Jannings;Masculino;Rorschach, Suiza;Suiza;Alemana;Blanca;No; Arme Eva;Mejor actor;Sí;1929;The Last Command;;;;
Emil Jannings;Masculino;Rorschach, Suiza;Suiza;Alemana;Blanca;No; Arme Eva;Mejor actor;No;1929;The Way of All Flesh;;;;
Louise Dresser;Femenino;Evansville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Glory of Clementina;Mejor actriz;No;1929;A Ship Comes In;;;;
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;Sí;1929;7th Heaven;;;;
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;No;1929;Street Angel;;;;
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;No;1929;Sunrise;;;;
Gloria Swanson;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Fable of Elvira and Farina and the Meal Ticket;Mejor actriz;No;1929;Sadie Thompson;;;;
George Bancroft;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Journey's End;Mejor actor;No;1930;Thunderbolt;;;;
Warner Baxter;Masculino;Columbus, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sheltered Daughters;Mejor actor;Sí;1930;In Old Arizona;;;;
Chester Morris;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; An Amateur Orphan;Mejor actor;No;1930;Alibi;;;;
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1930;The Valiant;;;;
Lewis Stone;Masculino;Worcester, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Honor's Altar;Mejor actor;No;1930;The Patriot;;;;
Ruth Chatterton;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sins of the Fathers;Mejor actriz;No;1930;Madame X;;;;
Betty Compson;Femenino;Beaver, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wanted: A Leading Lady;Mejor actriz;No;1930;The Barker;;;;
Jeanne Eagels;Femenino;Kansas City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Ace of Hearts;Mejor actriz;No;1930;The Letter;;;;
Corinne Griffith;Femenino;Texarkana, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; La paloma;Mejor actriz;No;1930;The Divine Lady;;;;
Bessie Love;Femenino;Midland, Estados Unidos;Estadounidense;Británica;Blanca;Sí; Acquitted;Mejor actriz;No;1930;The Broadway Melody;;;;
Mary Pickford;Femenino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;Sí; Mrs. Jones Entertains;Mejor actriz;Sí;1930;Coquette;;;;
George Arliss;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; The Devil ;Mejor actor;Sí;1931;Disraeli;;;;
