ano_premio,certamen,nombre_actor_actriz,genero,pais_origen_nacionalidad,pelicula,idioma_actuacion,carrera_previa_hollywood,fue_nominado_oscar
1932,Festival de Venecia,Fredric March,Masculino,Estados Unidos,Dr. Jekyll and Mr. Hyde,Inglés,Sí,Sí
1932,Festival de Venecia,Helen Hayes,Femenino,Estados Unidos,The Sin of Madelon Claudet,Inglés,Sí,Sí
1934,Festival de Venecia,Katharine Hepburn,Femenino,Estados Unidos,Little Women,Inglés,Sí,No
1934,Festival de Venecia,Wallace Beery,Masculino,Estados Unidos,Viva Villa!,Inglés,Sí,No
1935,Festival de Venecia,Paula Wessely,Femenino,Austria,Episode,Alemán,No,No
1935,Festival de Venecia,Pierre Blanchar,Masculino,Francia,Crime et Châtiment,Francés,No,No
1936,Festival de Venecia,Annabella,Femenino,Francia,Veille d'armes,Francés,No,No
1936,Festival de Venecia,Paul Muni,Masculino,Estados Unidos,The Story of Louis Pasteur,Inglés,Sí,Sí
1937,Festival de Venecia,Bette Davis,Femenino,Estados Unidos,Marked Woman / Kid Galahad,Inglés,Sí,No
1937,Festival de Venecia,Emil Jannings,Masculino,Alemania,Der Herrscher,Alemán,Sí,No
1938,Festival de Venecia,Leslie Howard,Masculino,Reino Unido,Pygmalion,Inglés,Sí,Sí
1938,Festival de Venecia,Norma Shearer,Femenino,Canadá,Marie Antoinette,Inglés,Sí,Sí
1944,Globo de Oro,Jennifer Jones,Femenino,Estados Unidos,The Song of Bernadette,Inglés,Sí,Sí
1944,Globo de Oro,Paul Lukas,Masculino,Hungría,Watch on the Rhine,Inglés,Sí,Sí
1945,Globo de Oro,Alexander Knox,Masculino,Canadá,Wilson,Inglés,Sí,Sí
1945,Globo de Oro,Ingrid Bergman,Femenino,Suecia,Gaslight,Inglés,Sí,Sí
1946,Festival de Cannes,Michèle Morgan,Femenino,Francia,La Symphonie pastorale,Francés,Sí,No
1946,Festival de Cannes,Ray Milland,Masculino,Estados Unidos,The Lost Weekend,Inglés,Sí,Sí
1946,Globo de Oro,Ingrid Bergman,Femenino,Suecia,The Bells of St. Mary's,Inglés,Sí,Sí
1946,Globo de Oro,Ray Milland,Masculino,Estados Unidos,The Lost Weekend,Inglés,Sí,Sí
1947,Festival de Cannes,Edward G. Robinson,Masculino,Estados Unidos,House of Strangers,Inglés,Sí,No
1947,Festival de Venecia,Anna Magnani,Femenino,Italia,L'Onorevole Angelina,Italiano,No,No
1947,Festival de Venecia,Pierre Fresnay,Masculino,Francia,Monsieur Vincent,Francés,No,No
1947,Globo de Oro,Fredric March,Masculino,Estados Unidos,The Best Years of Our Lives,Inglés,Sí,Sí
1947,Globo de Oro,Rosalind Russell,Femenino,Estados Unidos,Sister Kenny,Inglés,Sí,Sí
1948,Festival de Venecia,Jean Simmons,Femenino,Reino Unido,Hamlet,Inglés,No,No
1948,Festival de Venecia,John Wayne,Masculino,Estados Unidos,Red River,Inglés,Sí,No
1948,Globo de Oro,Ronald Colman,Masculino,Reino Unido,A Double Life,Inglés,Sí,Sí
1948,Globo de Oro,Rosalind Russell,Femenino,Estados Unidos,Mourning Becomes Electra,Inglés,Sí,Sí
1949,Festival de Cannes,Isa Miranda,Femenino,Italia,Le mura di Malapaga,Italiano,No,No
1949,Festival de Venecia,Olivia de Havilland,Femenino,Estados Unidos,The Snake Pit,Inglés,Sí,Sí
1949,Globo de Oro,Jane Wyman,Femenino,Estados Unidos,Johnny Belinda,Inglés,Sí,Sí
1949,Globo de Oro,Laurence Olivier,Masculino,Reino Unido,Hamlet,Inglés,Sí,Sí
1950,Globo de Oro,Broderick Crawford,Masculino,Estados Unidos,All the King's Men,Inglés,Sí,Sí
1950,Globo de Oro,Olivia de Havilland,Femenino,Estados Unidos,The Heiress,Inglés,Sí,Sí
1951,Festival de Cannes,Bette Davis,Femenino,Estados Unidos,All About Eve,Inglés,Sí,Sí
1951,Festival de Cannes,Michael Redgrave,Masculino,Reino Unido,The Browning Version,Inglés,No,No
1951,Festival de Venecia,Vivien Leigh,Femenino,Reino Unido,A Streetcar Named Desire,Inglés,Sí,Sí
1951,Globo de Oro,Fred Astaire,Masculino,Estados Unidos,Three Little Words,Inglés,Sí,No
1951,Globo de Oro,Gloria Swanson,Femenino,Estados Unidos,Sunset Boulevard,Inglés,Sí,Sí
1951,Globo de Oro,José Ferrer,Masculino,Puerto Rico,Cyrano de Bergerac,Inglés,Sí,Sí
1951,Globo de Oro,Judy Holliday,Femenino,Estados Unidos,Born Yesterday,Inglés,Sí,Sí
1952,Festival de Cannes,Lee Grant,Femenino,Estados Unidos,Detective Story,Inglés,Sí,Sí
1952,Festival de Cannes,Marlon Brando,Masculino,Estados Unidos,Viva Zapata!,Inglés,Sí,Sí
1952,Globo de Oro,Danny Kaye,Masculino,Estados Unidos,On the Riviera,Inglés,Sí,No
1952,Globo de Oro,Fredric March,Masculino,Estados Unidos,Death of a Salesman,Inglés,Sí,Sí
1952,Globo de Oro,Jane Wyman,Femenino,Estados Unidos,The Blue Veil,Inglés,Sí,Sí
1952,Globo de Oro,June Allyson,Femenino,Estados Unidos,Too Young to Kiss,Inglés,Sí,No
1953,BAFTA,Marlon Brando,Masculino,Estados Unidos,Viva Zapata!,Inglés,Sí,Sí
1953,BAFTA,Ralph Richardson,Masculino,Reino Unido,The Sound Barrier,Inglés,Sí,No
1953,BAFTA,Simone Signoret,Femenino,Francia,Casque d'Or,Francés,No,No
1953,BAFTA,Vivien Leigh,Femenino,Reino Unido,A Streetcar Named Desire,Inglés,Sí,Sí
1953,Festival de Cannes,Shirley Booth,Femenino,Estados Unidos,"Come Back, Little Sheba",Inglés,Sí,Sí
1953,Festival de Venecia,Henri Vilbert,Masculino,Francia,Le Bon Dieu sans confession,Francés,No,No
1953,Festival de Venecia,Lilli Palmer,Femenino,Alemania,The Four Poster,Inglés,Sí,No
1953,Globo de Oro,Donald O'Connor,Masculino,Estados Unidos,Singin' in the Rain,Inglés,Sí,No
1953,Globo de Oro,Gary Cooper,Masculino,Estados Unidos,High Noon,Inglés,Sí,Sí
1953,Globo de Oro,Shirley Booth,Femenino,Estados Unidos,"Come Back, Little Sheba",Inglés,Sí,Sí
1953,Globo de Oro,Susan Hayward,Femenino,Estados Unidos,With a Song in My Heart,Inglés,Sí,Sí
1954,BAFTA,Audrey Hepburn,Femenino,Reino Unido,Roman Holiday,Inglés,No,Sí
1954,BAFTA,John Gielgud,Masculino,Reino Unido,Julius Caesar,Inglés,Sí,No
1954,BAFTA,Marlon Brando,Masculino,Estados Unidos,Julius Caesar,Inglés,Sí,Sí
1954,BAFTA,Shirley Booth,Femenino,Estados Unidos,"Come Back, Little Sheba",Inglés,Sí,Sí
1954,Festival de Cannes,Brenda de Banzie,Femenino,Reino Unido,Hobson's Choice,Inglés,No,No
1954,Festival de Venecia,Jean Gabin,Masculino,Francia,Touchez pas au grisbi,Francés,No,No
1954,Globo de Oro,Audrey Hepburn,Femenino,Reino Unido,Roman Holiday,Inglés,No,Sí
1954,Globo de Oro,David Niven,Masculino,Reino Unido,The Moon Is Blue,Inglés,Sí,No
1954,Globo de Oro,Ethel Merman,Femenino,Estados Unidos,Call Me Madam,Inglés,Sí,No
1954,Globo de Oro,Spencer Tracy,Masculino,Estados Unidos,The Actress,Inglés,Sí,No
1955,BAFTA,Cornell Borchers,Femenino,Alemania,The Divided Heart,Inglés,No,No
1955,BAFTA,Kenneth More,Masculino,Reino Unido,Doctor in the House,Inglés,No,No
1955,BAFTA,Marlon Brando,Masculino,Estados Unidos,On the Waterfront,Inglés,Sí,Sí
1955,BAFTA,Yvonne Mitchell,Femenino,Reino Unido,The Divided Heart,Inglés,No,No
1955,Festival de Cannes,Spencer Tracy,Masculino,Estados Unidos,Bad Day at Black Rock,Inglés,Sí,Sí
1955,Festival de Venecia,Curd Jürgens,Masculino,Austria,Les héros sont fatigués,Francés,No,No
1955,Globo de Oro,Grace Kelly,Femenino,Estados Unidos,The Country Girl,Inglés,Sí,Sí
1955,Globo de Oro,James Mason,Masculino,Reino Unido,A Star Is Born,Inglés,Sí,Sí
1955,Globo de Oro,Judy Garland,Femenino,Estados Unidos,A Star Is Born,Inglés,Sí,Sí
1955,Globo de Oro,Marlon Brando,Masculino,Estados Unidos,On the Waterfront,Inglés,Sí,Sí
1956,BAFTA,Betsy Blair,Femenino,Estados Unidos,Marty,Inglés,Sí,Sí
1956,BAFTA,Ernest Borgnine,Masculino,Estados Unidos,Marty,Inglés,Sí,Sí
1956,BAFTA,Katie Johnson,Femenino,Reino Unido,The Ladykillers,Inglés,No,No
1956,BAFTA,Laurence Olivier,Masculino,Reino Unido,Richard III,Inglés,Sí,Sí
1956,Festival de Berlín,Elsa Martinelli,Femenino,Italia,Donatella,Italiano,No,No
1956,Festival de Berlín,Françoise Arnoul,Femenino,Francia,Des gens sans importance,Francés,No,No
1956,Festival de Cannes,Susan Hayward,Femenino,Estados Unidos,I'll Cry Tomorrow,Inglés,Sí,Sí
1956,Festival de Venecia,Bourvil,Masculino,Francia,La Traversée de Paris,Francés,No,No
1956,Festival de Venecia,Maria Schell,Femenino,Suiza,Gervaise,Francés,No,No
1956,Globo de Oro,Anna Magnani,Femenino,Italia,The Rose Tattoo,Inglés,No,Sí
1956,Globo de Oro,Ernest Borgnine,Masculino,Estados Unidos,Marty,Inglés,Sí,Sí
1956,Globo de Oro,Jean Simmons,Femenino,Reino Unido,Guys and Dolls,Inglés,Sí,No
1956,Globo de Oro,Tom Ewell,Masculino,Estados Unidos,The Seven Year Itch,Inglés,Sí,No
1957,BAFTA,Anna Magnani,Femenino,Italia,The Rose Tattoo,Inglés,No,Sí
1957,BAFTA,François Périer,Masculino,Francia,Gervaise,Francés,No,No
1957,BAFTA,Peter Finch,Masculino,Australia,A Town Like Alice,Inglés,No,No
1957,BAFTA,Virginia McKenna,Femenino,Reino Unido,A Town Like Alice,Inglés,No,No
1957,Festival de Berlín,Pedro Infante,Masculino,México,Tizoc,Español,No,No
1957,Festival de Berlín,Siobhan McKenna,Femenino,Irlanda,Boy on a Dolphin,Inglés,No,No
1957,Festival de Cannes,Giulietta Masina,Femenino,Italia,Le notti di Cabiria,Italiano,No,No
1957,Festival de Cannes,John Kitzmiller,Masculino,Estados Unidos,Dolina miru,Esloveno,No,No
1957,Festival de Venecia,Anthony Franciosa,Masculino,Estados Unidos,A Hatful of Rain,Inglés,Sí,Sí
1957,Festival de Venecia,Dzintra Ritenberga,Femenino,Unión Soviética,Malva,Ruso,No,No
